Unnamed: 0,year_month,heliofania_media,heliofania_total,pres_atm_nivel_mar,pres_atm_nivel_estacion,precip_max_24h,dia_precip_max,precip_total,dias_con_precip,viento_vel_med,viento_vel_max,humedad_relativa_media,temp_max,dia_temp_max,temp_min,dia_temp_min,media_temp_max,media_temp_min,temp_media,dias_menos_0,dias_entre_0_y_5,dias_entre_35_y_40,dias_superior_40,temp_rocio,precip_norm,temp_norm,viento_norm,puntuacion_construccion
22,2020_11,8.0,238.8,1011.3,992.6,51.0,26,129.7,10,4.3,22.2,67.7,40.4,30,14.6,6,32.4,18.7,25.4,0,0,9,1,18.1,0.4283836613642491,0.4955628211116303,0.5647339158061953,55.002751529740536
23,2020_12,8.4,259.8,1009.4,990.8,50.4,2,177.4,9,5.7,27.7,77.0,35.5,31,17.2,22,32.3,20.8,26.0,0,0,6,0,21.4,0.5891412779724994,0.4395142456795891,0.34233518665607593,46.71937196184013
24,2021_01,6.5,201.0,1008.6,990.0,80.0,26,220.7,15,3.6,22.2,82.2,35.2,11,17.6,19,31.7,22.2,26.1,0,0,1,0,22.7,0.735070099757347,0.43017281644091543,0.6759332803812549,76.98556499098535
25,2021_02,9.2,257.7,1010.4,991.7,26.6,1,50.9,4,3.7,18.5,77.3,36.4,22,15.0,19,31.8,20.1,25.5,0,0,4,0,20.9,0.16281342679967648,0.48622139187295665,0.660047656870532,42.95759731621172
26,2021_03,8.1,243.9,1011.1,992.2,47.0,16,156.8,10,3.7,18.5,80.7,35.0,1,16.5,11,31.0,19.8,24.4,0,0,5,0,20.7,0.5197155567538421,0.5889771134983655,0.660047656870532,74.66828231528089
27,2021_04,7.7,231.6,1014.2,995.3,26.6,24,80.5,6,3.9,9.3,79.0,33.6,10,10.6,29,28.6,18.0,22.5,0,0,0,0,18.5,0.2625707737934753,0.7664642690331621,0.6282764098490865,70.09789407625557
28,2021_05,7.1,212.2,1016.3,997.0,15.0,11,40.1,4,3.8,25.9,80.3,32.0,3,6.0,24,26.0,13.7,18.8,0,0,0,0,15.1,0.1264154758695066,0.8879028491359179,0.6441620333598093,71.99945543197748
29,2021_06,5.0,148.7,1017.9,999.0,20.0,5,56.4,10,4.2,29.6,84.1,33.0,4,0.2,29,22.7,12.3,16.9,0,2,0,0,14.0,0.18134942032892964,0.7104156936011209,0.580619539316918,57.17836878731579
30,2021_07,7.9,244.8,1019.4,1000.1,29.0,14,49.8,4,5.0,25.9,69.4,32.4,24,0.0,29,24.4,11.2,17.1,1,6,0,0,10.9,0.15910622809382582,0.7290985520784682,0.45353455123113556,49.05758802686157
31,2021_08,6.8,191.1,1015.9,996.7,1.9,25,2.6,3,7.1,25.9,69.7,37.0,19,6.0,4,27.5,14.7,20.4,0,0,5,0,13.7,3.3701806416823226e-05,0.9626342830453061,0.11993645750595673,36.04126313667153
32,2021_09,6.4,193.4,1012.8,993.8,18.6,30,84.4,11,7.7,38.9,71.2,39.0,7,10.0,10,30.9,17.7,20.9,0,0,10,0,16.9,0.2757144782960367,0.9159271368519385,0.024622716441619823,44.22157982916225
33,2021_10,7.0,218.1,1012.2,993.2,28.0,13,128.5,11,6.4,29.6,79.4,35.4,29,13.0,5,28.7,17.7,22.5,0,0,1,0,18.5,0.4243394445942303,0.7664642690331621,0.23113582208101627,55.17346234870425
34,2021_11,7.4,207.2,1012.1,993.5,60.2,16,147.3,8,4.1,22.2,79.3,36.5,4,15.6,30,31.0,20.3,25.0,0,0,4,0,20.9,0.48769884065785934,0.5329285380663242,0.5965051628276409,63.95471419364662
35,2021_12,9.5,294.8,1009.3,989.6,11.4,13,27.1,4,4.7,35.2,68.4,39.0,29,17.0,1,34.7,21.3,27.6,0,0,17,0,20.7,0.08260312752763549,0.2900513778608127,0.501191421763304,11.634632075390522
36,2022_01,10.1,312.7,1008.3,989.8,29.0,3,71.5,5,6.8,37.0,67.0,42.0,24,19.0,10,36.4,23.2,27.6,0,0,12,9,21.7,0.23223914801833379,0.2900513778608127,0.16759332803812513,0.0
37,2022_02,9.5,228.6,1009.8,991.1,52.6,4,117.1,6,5.5,92.6,69.3,39.0,16,17.6,9,35.8,21.8,27.6,0,0,18,0,20.8,0.38591938527905095,0.2900513778608127,0.37410643367752155,23.35810622016543
38,2022_03,8.0,249.0,1011.8,992.9,76.6,22,299.30999999999995,10,7.8,31.5,77.6,37.0,7,12.0,31,30.5,19.8,24.0,0,0,7,0,19.8,1.0,0.6263428304530594,0.008737092930897075,67.31175816346577
39,2022_04,6.6,191.9,1013.1,994.2,63.4,10,299.30999999999995,9,7.1,20.4,82.6,34.4,27,9.6,15,27.9,18.3,22.1,0,0,0,0,18.7,1.0,0.803829985987856,0.11993645750595673,88.80017516962525
40,2022_05,5.4,162.2,1017.9,998.2,53.8,27,149.6,10,5.3,20.4,87.3,29.8,1,6.0,20,22.3,13.1,16.895,0,0,0,0,14.4,0.4954502561337288,0.7099486221391873,0.4058776806989672,66.50728572918757
41,2022_06,4.8,143.1,1017.8,998.2,13.8,16,38.4,5,5.8,16.7,87.0,28.6,21,1.0,12,20.6,11.4,16.895,0,4,0,0,13.4,0.12068616877864653,0.7099486221391873,0.32644956314535317,36.819364689826386
42,2022_07,6.8,203.1,1014.1,994.9,11.4,11,25.7,5,7.4,29.6,75.5,32.2,26,5.0,13,27.1,16.0,20.9,0,2,0,0,16.0,0.07788487462928013,0.9159271368519385,0.07227958697378821,34.31003931285528
43,2022_08,6.9,214.2,1017.4,998.0,25.4,6,42.8,3,7.1,25.9,78.5,33.0,27,3.0,20,24.9,13.7,18.6,0,2,0,0,14.5,0.13551496360204907,0.8692199906585709,0.11993645750595673,37.380884000257794
44,2022_09,6.2,180.3,1016.2,996.6,34.2,19,125.0,10,6.5,25.9,80.5,35.4,8,7.0,23,24.3,13.9,18.4,0,0,1,0,14.7,0.4125438123483419,0.8505371321812236,0.2152501985702935,60.17037387839154
45,2022_10,7.3,227.0,1013.6,994.5,71.6,5,234.6,12,6.6,40.7,79.0,36.0,26,11.0,11,27.0,16.2,20.8,0,0,1,0,16.7,0.7819156106767323,0.9252685660906118,0.19936457505957075,89.41355729911676
46,2022_11,10.0,170.8,1016.2,997.0,59.8,12,67.4,2,4.2,16.7,70.2,33.6,17,7.6,2,28.5,15.4,21.7,0,0,0,0,16.0,0.21842140738743598,0.8411957029425503,0.580619539316918,70.17525201374445
47,2022_12,9.2,91.8,1011.4,992.7,2.4,27,2.5900000000000003,1,4.4,13.0,67.9,38.4,31,16.2,29,34.0,20.4,26.9,0,0,3,0,20.2,0.0,0.35544138253152757,0.5488482922954724,14.563503912087478
48,2023_01,8.6,128.8,1011.4,992.6,47.8,3,59.8,4,4.0,13.0,75.5,39.0,1,17.4,4,32.6,20.3,26.0,0,0,1,0,20.8,0.19280803451064976,0.4395142456795891,0.6123907863383636,38.08744060619776
49,2023_02,6.0,24.0,1013.0,994.1,0.4,26,2.5900000000000003,0,4.9,9.3,80.3,32.2,25,21.2,28,30.5,21.7,25.3,0,0,0,0,21.7,0.0,0.5049042503503036,0.4694201747418583,21.531168377285518
50,2023_03,7.4,213.7,1012.0,993.2,34.6,29,116.1,7,3.9,11.1,79.9,35.6,29,17.0,28,32.4,21.6,25.9,0,0,9,0,22.1,0.3825492046373686,0.4488556749182627,0.6282764098490865,52.308708101402146
51,2023_04,6.7,193.3,1014.0,994.9,45.0,25,117.8,7,3.7,13.0,82.5,34.0,3,10.0,21,27.9,17.1,21.5,0,0,0,0,18.2,0.38827851172822864,0.8598785614198973,0.660047656870532,87.93256584688197
52,2023_05,5.7,176.5,1016.3,997.1,60.0,21,91.1,6,3.5,16.7,83.2,31.4,1,9.4,14,25.4,16.0,19.7,0,0,0,0,16.5,0.2982946885953087,0.9719757122839794,0.6918189038919776,93.12926525383166
53,2023_06,6.3,183.1,1017.7,998.4,12.4,10,17.7,2,5.5,25.9,82.7,30.6,26,8.0,14,25.0,14.7,18.8,0,0,0,0,15.8,0.05092342949582098,0.8879028491359179,0.37410643367752155,49.684161149050894
54,2023_07,6.3,193.8,1018.3,999.0,29.8,12,65.2,4,7.854999999999997,29.6,80.8,33.2,23,5.0,15,25.7,15.0,19.6,0,1,0,0,15.9,0.2110070099757347,0.9626342830453061,0.0,42.167551484363344
55,2023_08,7.5,233.7,1014.6,995.6,33.4,18,98.1,7,6.6,29.6,76.0,35.0,22,8.4,27,28.7,16.3,21.5,0,0,1,0,16.7,0.32188595308708545,0.8598785614198973,0.19936457505957075,53.95735455267009
56,2023_09,6.7,201.6,1011.9,993.0,61.0,1,176.8,10,7.854999999999997,33.3,74.7,38.6,24,9.5,15,30.5,18.8,23.6,0,0,11,0,18.5,0.58711916958749,0.6637085474077533,0.0,42.68761878440216
57,2023_10,5.9,184.1,1010.1,991.2,72.2,27,253.5,12,7.0,25.9,80.2,39.0,16,12.0,13,29.9,19.4,23.9,0,0,6,0,20.1,0.8456120248045296,0.635684259691733,0.13582208101667947,66.11122013258517
58,2023_11,5.8,173.1,1009.1,990.3,112.2,13,299.30999999999995,15,6.0,25.9,81.6,39.0,11,11.6,5,31.3,21.3,25.5,0,0,9,0,21.9,1.0,0.48622139187295665,0.29467831612390755,74.37691181741954
59,2023_12,6.5,196.0,1010.2,991.5,48.4,7,183.3,12,5.1,16.7,81.3,38.6,16,18.0,30,33.0,23.2,27.3,0,0,11,0,23.4,0.6090253437584255,0.3180756655768333,0.43764892772041286,44.34130454734504
