year_month,precip_total,caudal,diametro_recomendado
2019_01,81.9,1365.0,13.0298562602219
2019_02,108.5,1808.3333333333333,14.4791915457441
2019_03,214.3,3571.6666666666665,18.6892328850166
2019_04,126.7,2111.6666666666665,15.3461483512224
2019_05,172.0,2866.6666666666665,17.2100181847246
2019_06,1.3,21.666666666666668,2.75541436835153
2019_07,35.7,595.0,9.54352339937119
2019_08,28.2,469.99999999999994,8.73577776581329
2019_09,32.8,546.6666666666665,9.24508382005368
2019_10,90.6,1509.9999999999998,13.5325997113364
2019_11,137.2,2286.6666666666665,15.8112408185640
2019_12,142.9,2381.666666666667,16.0544431799416
2020_01,298.2,4969.999999999999,21.1542935354288
2020_02,67.1,1118.3333333333333,12.0914701115047
2020_03,25.1,418.3333333333333,8.36249376912244
2020_04,91.0,1516.6666666666665,13.5549738395278
2020_05,231.6,3859.9999999999995,19.2413314050881
2020_06,96.0,1600.0,13.8296081211439
2020_07,49.0,816.6666666666666,10.7468624821326
2020_08,22.3,371.66666666666663,7.99967761289516
2020_09,5.1,85.0,4.60041464869759
2020_10,65.3,1088.3333333333333,11.9687998532979
2020_11,129.7,2161.6666666666665,15.4814150007434
2020_12,177.4,2956.666666666667,17.4106813620074
2021_01,220.7,3678.3333333333326,18.8966159454426
2021_02,50.9,848.3333333333333,10.9012758668391
2021_03,156.8,2613.333333333333,16.6231350619291
2021_04,80.5,1341.6666666666665,12.9458811833331
2021_05,40.1,668.3333333333334,9.96867187956898
2021_06,56.4,939.9999999999999,11.3289021473475
2021_07,49.8,830.0,10.8123268371278
2021_08,2.6,43.333333333333336,3.57333034233200
2021_09,84.4,1406.6666666666667,13.1776078438948
2021_10,128.5,2141.6666666666665,15.4275454489820
2021_11,147.3,2455.0000000000005,16.2380618655244
2021_12,27.1,451.6666666666667,8.60640235363755
2022_01,71.5,1191.6666666666665,12.3829160120855
2022_02,117.1,1951.6666666666665,14.8993388507096
2022_03,375.9,6265.0,23.0733303333309
2022_04,320.4,5340.0,21.7316575077588
2022_05,149.6,2493.333333333333,16.3326821067541
2022_06,38.4,640.0,9.80804321619039
2022_07,25.7,428.33333333333337,8.43690352205947
2022_08,42.8,713.3333333333333,10.2152635325820
2022_09,125.0,2083.333333333333,15.2686069862191
2022_10,234.6,3909.9999999999995,19.3344207142503
2022_11,67.4,1123.3333333333333,12.1117144397017
2022_12,2.4,40.0,3.46766693416947
2023_01,59.8,996.6666666666667,11.5803345367751
2023_02,0.4,6.666666666666667,1.77104933154042
2023_03,116.1,1935.0,14.8514974168840
2023_04,117.8,1963.3333333333333,14.9326761169921
2023_05,91.1,1518.3333333333333,13.5605577633221
2023_06,17.7,295.0,7.33581104866479
2023_07,65.2,1086.6666666666667,11.9619232075835
2023_08,98.1,1635.0,13.9422876745973
2023_09,176.8,2946.6666666666665,17.3885756610863
2023_10,253.5,4225.0,19.9044369998022
2023_11,400.9,6681.666666666666,23.6372355318582
2023_12,183.3,3055.0,17.6256071463007
